raw_sentence,labels
C. Walsh not out 8,"['B-PER', 'I-PER', 'O', 'O', 'O']"
"He said his government had just asked U.N. human rights monitors to increase their numbers in Burundi in an effort "" to put an end to this vicious circle of violence . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Fall of wickets : 1-48 2-92 3-167 4-230 5-240 6-242 7-263,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
- New orders received 876 vs 933,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
Reuters has not verified this story and does not vouch for its accuracy .,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Scorers :,"['O', 'O']"
Real Madrid 16 11 5 0 32 12 38,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4 - Kimiko Date ( Japan ) beat 5 - Gabriela Sabatini ( Argentina ),"['O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O']"
3. Jan Bos ( Netherlands ) 1:16.38,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
"On April 28 , a lone gunman went on a shooting rampage at the site of the historic Port Arthur penal settlement , killing 35 people .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Partizan beat Benetton 97-94 ( halftime 39-32 ) .,"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"19,675",['O']
Med oil products mostly lower as Elf strike ends .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']"
MONTREAL AT SAN FRANCISCO,"['B-ORG', 'O', 'B-LOC', 'I-LOC']"
Buducnost 3 1 0 2 3 5 3,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Daily Argentine grain fixings - Camaras Arbitrales .,"['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O']"
seeding ) :,"['O', 'O', 'O']"
"In the future , the accountant will be evaluated solely on "" knowledge , skill and abilities , "" she said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
*,['O']
"`` This is totally by surprise , '' said Debra Strohmaier , a ChemLawn spokeswoman .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'O', 'O']"
"WHEAT / BARLEY SALE - The Japanese Food Agency said it bought 20,000 tonnes of U.S. dark northern spring wheat , 20,000 of Canadian western red spring wheat , 20,000 of Australian standard white wheat and 20,000 of Australian feed barley at its weekly tender , all for October shipment .","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42-3 .,"['O', 'O']"
""" At 4.50 a.m. Iraq time ( 0050 GMT ) Iraqi forces began an artillery attack on the outskirts of Arbil , "" the spokesman , who asked not to be identified , told Reuters in a telephone call .","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-MISC', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
Venezuela non-oil exports rise 10.6 pct in July .,"['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" He wants to outline to the American people what he thinks has been accomplished in the last four years , and what he would like to see done in the next four years , "" she said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Absentee voting in the elections began on Wednesday , August 28 and runs for a week .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
CENTRAL DIVISION,"['B-MISC', 'I-MISC']"
"France expels African , Air France unions protest .","['B-LOC', 'O', 'B-MISC', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O']"
Watford 3 1 0 2 2 5 3,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
IHC Caland reported first half results well under forecasts on Monday and the shares suffered as a result .,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The spread between benchmark bonds narrowed 77 basis points from 81 basis points at the close of trading on Wednesday .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Egyptian government will have nothing more to do with the Sudanese government because it continues to shelter and support Egyptian militants , President Hosni Mubarak said in a speech on Thursday .","['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Share prices continued their rise even when the gold price fell back to 450 dlrs an ounce , due to rising confidence in President Corazon Aquino 's handling of the economy , they said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
BOSTON 69 66 .511 6 1/2,"['B-ORG', 'O', 'O', 'O', 'O', 'O']"
Kurt Schork,"['B-PER', 'I-PER']"
"The harvest is gathered in the dry areas , but rainfall in Western Ukraine has delayed harvesting there .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']"
"There is the international prestige Singapore would enjoy , but "" more importantly there is a genuine national interest in fostering better global free trade and an open market "" , said Tan Kong Yam , head of Business Policy at the National University of Singapore .","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
"In sentencing Crofts , who pleaded guilty , Grove took into account his "" mildly retarded "" intellectual state , which placed him in the lowest two percent of the population .","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Charlton 2 0 1 1 1 3 1,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Steers : Select and Choice 2-3 , 1200 lbs 67.00 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"That plan has now reached my desk . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Martin Gates 71 77 72 , Bradley Hughes ( Australia ) 73 75 72 ,","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"In 14 years as Chicago 's archbishop , he built a prayerful , saintly image and was deeply involved in world church issues and publicly committed to rooting out abuses by clergy .","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Exiled Bosnians protest confusing voting rules .,"['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O']"
Samir Arnaut,"['B-PER', 'I-PER']"
Cincinnati 6 FLORIDA 5 ( 1ST GM ),"['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']"
1. Wilson Kipketer ( Denmark ) 1:43.34,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
"The liquidity at month-end and the next court hearing scheduled for Thursday , "" the dealer said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
INDICATORS - Spain - updated August 29 .,"['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
Israel captured East Jerusalem in the 1967 Middle East war and claims both halves of the city as its capital .,"['B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"against , points ) :","['O', 'O', 'O', 'O', 'O']"
Dickson allowed a homer to Derek Jeter on his first major-league pitch but settled down .,"['B-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mohammad Akam,"['B-PER', 'I-PER']"
- The surprise ...,"['O', 'O', 'O', 'O']"
CHICAGO 1996-08-26,"['B-LOC', 'O']"
11. Jose Escuredo ( Spain ) 1:05.731,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
2. MTK 3 3 - - 7 1 9,"['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"( Australia ) , David Gilford , Stuart Cage , Mike Clayton","['O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER']"
3. Irina Privalova ( Russia ) 22.68,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
Vancouver 105 SAN ANTONIO 89,"['B-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
"The first Fox-produced program -- `` The Late Show , '' featuring comedienne Joan Rivers -- was shown last fall on Fox 's seven stations and close to 100 affiliates .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ANKARA 1996-08-27,"['B-LOC', 'O']"
Hamburg 0 VfB Stuttgart 4,"['B-ORG', 'O', 'B-ORG', 'I-ORG', 'O']"
"Salamanca , who spoke at a meeting on kidnapping in Colombia , has said in the past that there was ample evidence to prove that Samper 's campaign received millions of dollars in contributions from the country 's top drug lords .","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mary decided she had had enough .,"['B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
"Unconfirmed news reports said a vehicle belonging to them was found abandoned at Santa Maria de Pocosol , about 12 miles ( 20 km ) north of the site of the abduction .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DETROIT 15 9 4 81 53 34,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
MOSCOW 1996-08-26,"['B-LOC', 'O']"
The study involved 115 people with high blood cholesterol levels .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
M'bishi Gas sets terms on 7-year straight .,"['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"It was another stunning mid-season acquisition for the Braves , who already have an 11-game lead in the National League Eastern Division .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O']"
I have much less fun off the court .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Result of an English premier,"['O', 'O', 'O', 'B-MISC', 'O']"
Leading results and overall standings after the 161 kilometre first stage of the Tour of the Netherlands between Gouda and Haarlem on Tuesday .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O']"
""" They asked me what would be the first thing I would do if I were president , and I said the first thing I would do would be to resign straight away , "" Archbishop Antonio Quarracino said at a sermon attended by several cabinet ministers .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Iraqis claimed they were "" ordinary people persecuted by the regime of Saddam ( Hussein ) "" but interior ministry officials had consistently said it was likely the seven would be charged with hijack before any plea for asylum was considered .","['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
G. Thorpe st Moin Khan b Aamir Sohail 23,"['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']"
About 200 German anti-nuclear activists protested on Thursday against nuclear waste transportation by re-enacting scenes from a demonstration they staged in May that turned into a violent clash with police .,"['O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The BJP backs a hardline Hindu campaign to build a temple at the site of the mosque , which Hindus believe was the birthplace of the Lord Rama .","['O', 'B-ORG', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
Receipts Shipments,"['O', 'O']"
"`` There is strength in the February data , but that 's because they were compared to low sales levels in January , '' said said Beth Reiners of Dean Witter Reynolds Inc. `` We do n't see it as a precursor of continued strength . ''","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
What ultimately frustrated every challenger was Ruth's amazing September surge .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
U.S. physicist who discovered the two zones of radiation encircling the earth to which he gave his name .,"['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Results of first division,"['O', 'O', 'O', 'O']"
5. Damon Hill ( Britain ) Williams 29.179,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'B-PER', 'O']"
"A former lawyer , he was in the front line of President Bill Clinton 's battle with the Republican-led Congress over the budget but has opposed the president 's decision to sign the Republican-written welfare reform bill .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-MISC', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O']"
-- Jakarta newsroom +6221 384-6364,"['O', 'B-LOC', 'O', 'O', 'O']"
OAKLAND AT BALTIMORE,"['B-ORG', 'O', 'B-LOC']"
""" Then , with cool heads , calmly and soberly we will sort out our relations , "" Lebed said after the late-night signing ceremony in this settlement outside Chechnya 's eastern border .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
2-1 .,"['O', 'O']"
"A London-based spokesman of the Iraqi National Congress said Iraqi artillery was shelling the city and Iraqi tanks had advanced to within 10 km ( six miles ) of Arbil , the administrative centre of the Kurdish rebel-controlled region of northern Iraq .","['O', 'B-MISC', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
Vitesse Arnhem 1 Utrecht 0,"['B-ORG', 'I-ORG', 'O', 'B-ORG', 'O']"
"President Ira Stepanian told the shareholders 's meeting the bank 's total loans to Argentina , Brazil and Mexico totaled 875 mln dlrs at the end of 1986 , 37 pct of its primary capital .","['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
HOUSTON 71 62 .534 -,"['B-ORG', 'O', 'O', 'O', 'O']"
An Israeli roadblock stopped the 38-year-old Palestinian from answering Yasser Arafat 's call to worship at Jerusalem 's al-Aqsa mosque on Friday .,"['O', 'B-MISC', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
18. Luxembourg 8.20,"['O', 'B-LOC', 'O']"
"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura 's header and then blocked a Takagi follow-up shot .","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O']"
""" I would like to see how the economy moved in the first half of 1996 , "" he said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Brentford 2 Gillingham 0,"['B-ORG', 'O', 'B-ORG', 'O']"
W L PCT GB,"['O', 'O', 'O', 'O']"
"Sangthai Glory 22/11/96 3,000 Singapore","['B-MISC', 'I-MISC', 'O', 'O', 'B-LOC']"
"As with many commodities , "" there is a desire ( by the Chinese government ) to keep a stockpile of the metal , "" he said . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5. Shem Kororia ( Kenya ) 13:06.65,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
Mark Ealham 1 2 0 30 25 15.00,"['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
"The men , both Finns aged about 40 , were arrested last Saturday in the western town of Tampere in a raid on a luxury boat owned by one of them .","['O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Men 's 800 metres,"['O', 'O', 'O', 'O']"
Allen declined to give say who would be subpoenaed .,"['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Stenhousemuir 15 4 5 6 18 12 17,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Traders said the Fed 's decision to adopt a tightening bias at the July FOMC meeting has cast more focus on every piece of U.S. economic news .,"['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
", $ 11 mln .","['O', 'O', 'O', 'O', 'O']"
"Namibia , who drew 0-0 with Botswana in their first leg , won the second leg in Windhoek 6-0 to stretch their unbeaten run to eight matches and continue their remarkable progress on the African soccer stage .","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O']"
U.S.-led allied planes based in Turkey are intended to protect the Kurds from Baghdad .,"['B-MISC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'B-LOC', 'O']"
"Hashan Tillekeratne , Roshan Mahanama , Kumara Dharmasena ,","['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']"
PSV took control in the second half but could not score until Groningen striker Romano Sion was sent off in the 58th minute .,"['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Note : the Apertura is the first of two championships played,"['O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Thousands of Tamils demonstrated outside the United Nations ' European headquarters in Geneva on Monday to appeal for U.N. recognition of their fight for independence from Sri Lanka .,"['O', 'O', 'B-MISC', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-MISC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"But others , such as self-confessed secret police hit-squad leader Dirk Coetzee , have yet to testify .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
It said Craig Held has also joined the company as executive vice president and chief marketing officer .,"['O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"We have also found and arrested her aunt and companion , "" said a spokeswoman of the Dutch criminal investigation service .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O']"
"Bowyer , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday .","['B-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']"
Dealers said that the volume of longer-term government paper declined due to market nervousness .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Singapore Refining Company expected to shut CDU 3 .,"['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"Kevorkian 's lawyer , Geoffrey Fieger , said those attending Smith 's death included her husband , David , a police officer , her father , James Poland , and Kevorkian .","['B-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-PER', 'O']"
Oxford 0 Norwich 1,"['B-ORG', 'O', 'B-ORG', 'O']"
RTRS - Newcrest Q4 net profit A$ 4.3 mln .,"['B-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-MISC', 'O', 'O', 'O']"
Adams and Platt are both injured and will miss England 's opening World Cup qualifier against Moldova on Sunday .,"['B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"As far as I know , it 's been to four alarms -- more trucks , more people , "" said Don Penney of the Rochester Fire Department said .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
2. Inez Turner ( Jamaica ) 2:01.98,"['O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O', 'O']"
American League,"['B-MISC', 'I-MISC']"
LONDON 1996-08-28,"['B-LOC', 'O']"
Baker was secretary of state in the Republican administration of President George Bush .,"['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
Croft 47.4 10 125 2 62.50,"['B-PER', 'O', 'O', 'O', 'O', 'O']"
The head of the region 's main pro-state militia is at the centre of a security scandal that has shaken the government .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
